timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698846550894,93354,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846550895,2615,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846550895,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846551901,93354,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846551902,2871,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846551902,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846552908,93352,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846552909,1992,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846552911,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846553913,93357,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846553914,2111,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846553914,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846554917,93352,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846554917,1625,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846554918,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846555921,93355,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846555921,3250,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846555921,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846556929,93356,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846556932,3109,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846556932,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846557939,93347,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846557939,4347,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846557939,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846558945,93351,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846558946,2739,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846558946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846559953,93351,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846559955,2746,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846559955,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846560961,93348,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846560962,2114,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846560962,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846561968,93357,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846561969,1865,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846561970,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846562976,93359,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846562977,1870,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846562977,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846563983,93357,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846563983,2732,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846563983,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846564989,93364,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846564994,2753,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846565002,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846566007,93364,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846566009,2357,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846566010,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846567016,93369,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846567017,1747,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
